# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
-71557646.53436,-66558402.78939,-10343445.92246,  -0.00020,  -0.00016,  -0.00013,71475280.47772,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-403164855.34881,   0.00000
-72796843.36499,-67574703.40209,-10481429.29546,  -0.00020,  -0.00017,  -0.00014,72636608.71088,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-402003527.11565,   0.00000
-74028079.61641,-68572429.32996,-10619412.66847,  -0.00020,  -0.00017,  -0.00014,73785941.44040,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-400854194.38613,   0.00000
-75259315.86782,-69570155.25783,-10752088.98866,  -0.00021,  -0.00017,  -0.00014,74933244.22997,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-399706891.59655,   0.00000
-76482591.54003,-70549306.50087,-10884765.30886,  -0.00021,  -0.00017,  -0.00014,76068600.69293,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-398571535.13360,   0.00000
-77687292.52740,-71520497.16471,-11012134.57625,  -0.00021,  -0.00017,  -0.00014,77188499.62113,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-397451636.20540,   0.00000
-78902607.62040,-72481073.72292,-11139503.84363,  -0.00022,  -0.00018,  -0.00014,78309944.80338,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-396330191.02315,   0.00000
-80091387.44935,-73415115.01710,-11266873.11102,  -0.00022,  -0.00018,  -0.00015,79406034.55760,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-395234101.26893,   0.00000
-81280167.27830,-74349156.31128,-11388935.32560,  -0.00022,  -0.00018,  -0.00015,80500151.04681,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-394139984.77972,   0.00000
-82468947.10726,-75283197.60546,-11510997.54018,  -0.00023,  -0.00018,  -0.00015,81594547.79826,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-393045588.02827,   0.00000
-83649766.35700,-76198664.21481,-11633059.75476,  -0.00023,  -0.00018,  -0.00015,82677104.56463,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-391963031.26190,   0.00000
-84804050.34270,-77087595.56012,-11749814.91653,  -0.00024,  -0.00019,  -0.00015,83732063.51696,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-390908072.30957,   0.00000
-85968948.43402,-77965912.79982,-11866570.07831,  -0.00024,  -0.00019,  -0.00015,84788811.60113,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-389851324.22540,   0.00000
-87123232.41972,-78854844.14513,-11983325.24008,  -0.00024,  -0.00019,  -0.00016,85844367.37471,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-388795768.45181,   0.00000
-88261595.24700,-79706626.12078,-12100080.40185,  -0.00025,  -0.00019,  -0.00016,86876103.19945,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-387764032.62708,   0.00000
-89399958.07428,-80558408.09644,-12211528.51081,  -0.00025,  -0.00019,  -0.00016,87905947.45565,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-386734188.37088,   0.00000
-90538320.90156,-81410190.07210,-12322976.61978,  -0.00025,  -0.00019,  -0.00016,88936111.58669,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-385704024.23984,   0.00000
-91660762.57042,-82224822.67810,-12429117.67594,  -0.00026,  -0.00020,  -0.00016,89940401.42867,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-384699734.39786,   0.00000
-92772590.13366,-83050069.38972,-12535258.73209,  -0.00026,  -0.00020,  -0.00016,90943364.75039,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-383696771.07614,   0.00000
-93876457.11769,-83856741.41651,-12641399.78825,  -0.00026,  -0.00020,  -0.00016,91934669.51138,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-382705466.31515,   0.00000
-94972363.52250,-84644838.75847,-12747540.84441,  -0.00027,  -0.00020,  -0.00017,92914356.03481,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-381725779.79172,   0.00000
-96060309.34811,-85414361.41560,-12848374.84775,  -0.00027,  -0.00020,  -0.00017,93880287.58169,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-380759848.24484,   0.00000
-97156215.75292,-86202458.75757,-12954515.90391,  -0.00027,  -0.00020,  -0.00017,94860676.36650,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-379779459.46003,   0.00000
-98236200.99932,-86953406.72987,-13050042.85445,  -0.00028,  -0.00020,  -0.00017,95813280.09794,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-378826855.72859,   0.00000
-99297611.56088,-87696394.12297,-13150876.85780,  -0.00028,  -0.00021,  -0.00017,96754676.43138,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-377885459.39515,   0.00000
-100351061.54324,-88420806.83124,-13246403.80834,  -0.00028,  -0.00021,  -0.00017,97682416.26351,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-376957719.56302,   0.00000
-101404511.52559,-89145219.53951,-13347237.81169,  -0.00029,  -0.00021,  -0.00017,98612696.71726,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-376027439.10927,   0.00000
-102457961.50795,-89869632.24778,-13437457.70942,  -0.00029,  -0.00021,  -0.00017,99539043.41622,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-375101092.41031,   0.00000
-103476915.64705,-90548935.00718,-13532984.65996,  -0.00029,  -0.00021,  -0.00018,100430484.48809,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-374209651.33844,   0.00000
-104522405.05019,-91254773.03062,-13623204.55770,  -0.00030,  -0.00021,  -0.00018,101345811.53723,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-373294324.28930,   0.00000
-105533398.61008,-91915501.10519,-13718731.50824,  -0.00030,  -0.00021,  -0.00018,102226283.95681,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-372413851.86972,   0.00000
-106544392.16997,-92576229.17977,-13808951.40597,  -0.00030,  -0.00021,  -0.00018,103105038.97223,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-371535096.85430,   0.00000
-107555385.72987,-93236957.25434,-13893864.25090,  -0.00031,  -0.00021,  -0.00018,103982078.68304,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-370658057.14349,   0.00000
-108558418.71055,-93879110.64409,-13984084.14863,  -0.00031,  -0.00022,  -0.00018,104849958.10782,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-369790177.71871,   0.00000
-109534916.42719,-94494728.76980,-14068996.99355,  -0.00031,  -0.00022,  -0.00018,105690536.43819,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-368949599.38834,   0.00000
-110511414.14383,-95110346.89551,-14153909.83848,  -0.00032,  -0.00022,  -0.00018,106531550.71934,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-368108585.10719,   0.00000
-111479951.28126,-95707390.33639,-14238822.68341,  -0.00032,  -0.00022,  -0.00019,107361357.59641,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-367278778.23012,   0.00000
-112448488.41868,-96304433.77727,-14323735.52833,  -0.00032,  -0.00022,  -0.00019,108191620.30857,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-366448515.51796,   0.00000
-113409064.97690,-96882902.53332,-14403341.32045,  -0.00033,  -0.00022,  -0.00019,109008633.40692,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-365631502.41961,   0.00000
-114351066.85029,-97453410.71016,-14482947.11257,  -0.00033,  -0.00022,  -0.00019,109812110.15700,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-364828025.66953,   0.00000
-115285108.14447,-98005344.20218,-14562552.90468,  -0.00033,  -0.00022,  -0.00019,110604479.06071,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-364035656.76582,   0.00000
-116237724.12347,-98565238.27340,-14642158.69680,  -0.00034,  -0.00022,  -0.00019,111411373.58733,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-363228762.23920,   0.00000
-117145230.15361,-99090636.50138,-14721764.48892,  -0.00034,  -0.00022,  -0.00019,112179119.35815,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-362461016.46838,   0.00000
-118063350.28937,-99605420.62374,-14796063.22823,  -0.00034,  -0.00022,  -0.00019,112947843.24865,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-361692292.57788,   0.00000
-118962895.74029,-100112244.16689,-14875669.02034,  -0.00035,  -0.00022,  -0.00019,113705083.95099,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-360935051.87554,   0.00000
-119881015.87605,-100627028.28925,-14949967.75965,  -0.00035,  -0.00022,  -0.00019,114474848.86183,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-360165286.96470,   0.00000
-120764640.16855,-101096702.46274,-15024266.49896,  -0.00035,  -0.00022,  -0.00020,115208161.25707,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-359431974.56946,   0.00000
-121656225.04027,-101584951.32106,-15098565.23827,  -0.00036,  -0.00022,  -0.00020,115953429.20368,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-358686706.62284,   0.00000
-122513314.06873,-102028090.23051,-15167556.92478,  -0.00036,  -0.00023,  -0.00020,116660225.47186,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-357979910.35467,   0.00000
-123396938.36124,-102497764.40400,-15241855.66408,  -0.00036,  -0.00023,  -0.00020,117395179.97207,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-357244955.85446,   0.00000
